S,ru,en,kz
67,"""Создайте расписание, чтобы ограничить использование приложений на устройстве вашего ребенка в течение заданного периода времени, за исключением разрешенных приложений""","""Create a schedule to limit app usage on your child’s device during specific periods, except for allowed apps""","""Балаңыздың құрылғысында рұқсат етілмеген қолданбаларды пайдалану уақытын шектеу үшін кесте жасаңыз"""
68,Название для расписания,Schedule name,Кестенің атауы
69,"""Например: Сон, Школа, Дамашние задания, и т.д.""","""For example: Sleep, School, Homework, etc.""","""Мысалы: Ұйқы, Мектеп, Үй тапсырмасы және т.б."""
70,Начало,Start,Басталуы
71,Конец,End,Аяқталуы
72,Приложение для родительского контроля,Parental control app,Ата-ана бақылауы қолданбасы
73,"""Нажмите, чтобы почитать о приложении.""","""Tap to learn more about the app""","""Қолданба туралы көбірек білу үшін түртіңіз"""
74,Моя Семья,My Family,Менің Отбасым
75,Добавить,Add,Қосу
76,Открыть профиль,Open profile,Профильді ашу
77,О приложении,About the app,Қолданба туралы
78,Умное воспитание с умным инструментом,Smart parenting with a smart tool,Ақылды құралмен ақылды тәрбие
79,"""Pinguin — это удобное приложение для родителей, которое помогает контролировать и защищать детей в цифровом мире. С его помощью можно отслеживать экранное время и активность ребенка, узнавая, какие приложения и сайты используются. Умный интерфейс обеспечивает простое управление и мгновенный доступ к данным.""","""Pinguin is a convenient app for parents that helps monitor and protect children in the digital world. It allows you to track screen time and your child’s activity, showing which apps and websites are used. The smart interface ensures easy control and instant access to data.""","""Pinguin — бұл ата-аналарға арналған ыңғайлы қосымша, ол балаларды цифрлық әлемде бақылауға және қорғауға көмектеседі. Қосымша арқылы балаңыздың экран уақытын және белсенділігін бақылап, қандай қолданбалар мен сайттар пайдаланылып жатқанын біле аласыз. Ақылды интерфейс қарапайым басқаруды және деректерге жедел қол жеткізуді қамтамасыз етеді."""
80,"""Приложение также поддерживает встроенный чат для общения с ребенком, чтобы всегда быть на связи. Дополнительно можно легко блокировать нежелательные приложения и сайты, устанавливая четкие ограничения. Pinguin — ваш надежный помощник для создания безопасной и комфортной цифровой среды.""","""The app also includes a built-in chat for staying connected with your child at all times. Additionally, it allows you to easily block unwanted apps and websites by setting clear limits. Pinguin is your reliable assistant for creating a safe and comfortable digital environment.""","""Қосымшада балаңызбен әрдайым байланыста болу үшін кіріктірілген чат бар. Сондай-ақ қажет емес қолданбалар мен сайттарды оңай бұғаттап, нақты шектеулер қоюға болады. Pinguin — қауіпсіз және жайлы цифрлық ортаны қалыптастырудағы сенімді көмекшіңіз."""
81,Добавление ребенка,Add a child,Бала қосу
82,Сын,Son,Ұл
83,Дочь,Daughter,Қыз
84,Имя,Name,Аты
85,Дата рождения,Date of birth,Туған күні
86,Класс,Grade,Сынып
87,Сохранить,Save,Сақтау
88,"""Устройство успешно привязано!""","""Device successfully linked!""","""Құрылғы сәтті байланыстырылды!"""
89,Продолжить,Continue,Жалғастыру
90,Выбрать приложения,Select apps,Қосымшаларды таңдау
91,Выбор приложений для блокировки,Select apps to block,Бұғаттауға арналған қосымшаларды таңдау
92,"""Родитель""","""Parent""","""Ата-ана"""
93,Регистрация,Register,Тіркелу
94,Пароль должен содержать не менее 5 символов,Password must be at least 5 characters,Құпиясөз кемінде 5 таңбадан тұруы керек
95,Введите корректный адрес электронной почты,Enter a valid email,Дұрыс электрондық поштаны енгізіңіз
96,Имя должно содержать не менее 2 символов,Name must be at least 2 characters,Атыңыз кемінде 2 таңбадан тұруы керек
97,"""Всё ещё в разработке, но уже впечатляет!""","""Still in Development, but Already Amazing!""","""Әлі жасалуда, бірақ қазірдің өзінде керемет!"""
98,"""Пожалуйста, введите корректный 4-значный код""","""Please enter a valid 4-digit code""",Дұрыс 4 таңбалы кодты енгізіңіз
99,Ошибка при получении данных членов семьи,Error fetching family members,Отбасы мүшелерін алу қатесі
100,Члены семьи не найдены,No family members found,Отбасы мүшелері табылмады
101,Неизвестно,Unknown,Белгісіз
102,Моя семья,My Family,Менің отбасым
103,Ошибка,Error,Қате
104,Версия,Version,Нұсқасы
105,"""Хотите удалить аккаунт?""","""Do you want to delete your account?""","""Аккаунтыңызды жойғыңыз келе ме?"""
106,Это приведет к безвозвратной потере накопленного прогресса,This will result in the irreversible loss of your accumulated progress,Бұл жиналған прогрестің қайтымсыз жоғалуына әкеледі
107,Выход,Exit,Шығу
108,"""Скачайте и установите приложение Pinguin на устройство вашего ребенка""","""Download and install the Pinguin app on your child's device""","""Балаңыздың құрылғысына Pinguin қосымшасын жүктеп, орнатыңыз"""
109,"""При входе выберите:""","""When logging in, select:""","""Кіру кезінде келесіні таңдаңыз:"""
110,Войти как ребенок,Login as a child,Бала ретінде кіру
111,Проверить статус привязки,Check binding status,Байланыс күйін тексеру
112,"""Нет подключения к интернету. Проверьте соединение и попробуйте снова.""","""No internet connection. Check your connection and try again.""","""Интернетке қосылу жоқ. Қосылымды тексеріп, қайта көріңіз."""
113,"""Произошла ошибка, пожалуйста, попробуйте еще раз""","""An error occurred, please try again""","""Қате орын алды, қайталап көріңіз"""
114,Ок,Ok,ОК
115,Не удалось проверить статус привязки,Failed to check binding status,Байланыс күйін тексеру сәтсіз аяқталды
116,"""Не удалось подключиться""","""Couldn't connect""","""Қосыла алмады"""
117,Не удалось привязать ребенка,Failed to bind child,Баланы байланыстыру сәтсіз аяқталды
118,Произошла ошибка при привязке ребенка,An error occurred while binding the child,Баланы байланыстыру кезінде қате орын алды
119,Добавление ребенка,Adding a child,Бала қосу
120,Дата рождения,Date of Birthday,Туған күні
121,Сохранить,Save,Сақтау
122,Ограничение времени,Time limit,Уақыт шектеуі
123,Ограничение времени использования экрана,Screen time limit,Экранды пайдалану уақытының шектеуі
124,Установите дневной лимит времени для устройства,Set a daily time limit for the device,Құрылғыға күнделікті уақыт шектеуін орнатыңыз
125,Запланированная блокировка,Scheduled lock,Жоспарланған блоктау
126,Установите период недоступности,Set unavailable time range,Қол жетімсіз уақыт аралығын орнатыңыз
127,Дневной лимит,Daily Limit,Күндік шектеу
128,"""По достижении лимита времени все приложения на устройстве ребенка будут заблокированы, за исключением разрешенных приложений.""","""When the time limit is reached, all apps on the child’s device will be blocked except for allowed apps.""","""Уақыт шектеуіне жеткенде, баланың құрылғысындағы барлық қосымшалар рұқсат етілген қосымшалардан басқа бұғатталады."""
129,"RU
Включить ограничение времени использования экрана","EN
Enable screen time limit","KZ
Экран уақытын шектеуді қосу"
130,Ребенку разрешено использовать устройство,The child is allowed to use the device for,Балаға құрылғыны пайдалануға рұқсат етіледі
131,Часов,Hours,Сағат
132,минут в день,Minutes per day,Күн сайын минут
133,ч,hr ,caғ
134,мин,min,мин
135,Лимиты установлены успешно,Limits set successfully,Шектеулер сәтті орнатылды
136,Успех,Success,Сәтті
137,Выберите приложения и время,Select apps and time,Қосымшалар мен уақытты таңдаңыз
138,Отмена,Cancel,Бас тарту
139,Добавить сценарий,Add scenario,Сценарий қосу
140,"""Создайте график, чтобы ограничить использование приложений на устройстве вашего ребенка в течение заданного периода времени, за исключением разрешенных приложений.""","""Create a schedule to limit app usage on your child’s device during a specified time period, except for allowed apps.""","""Белгіленген уақыт аралығында балаңыздың құрылғысындағы қосымшаларды пайдалануды шектеу үшін кесте жасаңыз, рұқсат етілген қосымшалардан басқа."""
141,Название расписания,Schedule name,Кесте атауы
142,"""Например, «Время сна», «Школа», «Домашнее задание» и т. д.""","""For example, «Bedtime», «School», «Homework», etc.""","""Мысалы: «Ұйықтау уақыты», «Мектеп», «Үй тапсырмасы» және т.б."""
143,"""Произошла ошибка на сервере. Пожалуйста, попробуйте позже.""","""A server error occurred. Please try again later.""","""Серверде қате орын алды. Кейінірек қайталап көріңіз."""
144,Профиль ребенка,Child profile,Бала профилі
145,Выбрать аватар,Select avatar,Аватар таңдау
146,Удалить аватар,Remove avatar,Аватарды жою
147,Пол,Gender,Жынысы
148,Класс,Grade,Сыныбы
149,"""# Всё ещё в разработке, но уже классно!
Мы стремимся создать лучшее приложение для семей, и это значит — постоянные улучшения. Каждую неделю мы добавляем новые функции, улучшаем интерфейс и исправляем ошибки, основываясь на ваших отзывах. Ваше мнение невероятно важно, и мы благодарны за терпение, пока мы делаем приложение ещё лучше. ## Обновление недели уже здесь!
### **Статистика экранного времени** * **Ежедневные отчёты:** Узнайте, сколько времени ребёнок проводит за устройством каждый день. * **Разделение по приложениям:** Посмотрите, какие приложения используются чаще всего и сколько времени на них тратится. * **Обновление в реальном времени:** Данные обновляются каждые 10 минут и мгновенно после возврата в приложение. ### **Улучшения интерфейса** Мы обновили дизайн и структуру приложения, чтобы им было проще и приятнее пользоваться. ### **Другие изменения** * Исправлены проблемы с прокруткой в чате. * **Новые экраны для детей:** Теперь дети могут видеть, с каким родителем они связаны и сколько времени провели за устройством сегодня. **Надеемся, вам понравятся эти улучшения!** Скачайте последнюю версию прямо сейчас и оцените обновления!""","""# Still in Development, but Already Awesome! We’re committed to creating the best app experience for families—and that means constant improvements. With weekly updates, we’re adding new features, refining the interface, and making everything more reliable based on your feedback. Your input is incredibly valuable, and we appreciate your patience as we build something great together. ## This Week’s Update is Here! ### **Screen Time Insights** * **Daily Usage Stats:** See exactly how much time your child spends on their device each day. * **Breakdown by App:** View which apps are being used most, with detailed time tracking. * **Real-Time Updates:** Data refreshes every 10 minutes, and updates instantly when you return to the app. ### **UI Enhancements** We’ve made visual and layout improvements to make the app easier and more enjoyable to use. ### **Other Improvements** * Fixed scrolling issues in the chat view for smoother interaction. * **New Child Screens:** Children can now see which parent they're connected to and how much time they’ve spent on their device today. **We hope you enjoy the latest improvements!** Download the newest version now and explore what’s new!""","""# Әлі де жетілдірілуде, бірақ қазірдің өзінде керемет! Біз отбасылар үшін ең жақсы қолданбаны жасауға тырысамыз. Сол себепті біз апта сайын жаңартулар шығарып, жаңа мүмкіндіктер қосудамыз, интерфейсті жақсартып, сіздің пікірлеріңізге сүйеніп жұмыс істеп келеміз. Сіздің пікіріңіз біз үшін өте маңызды. Бізге сенім артып, шыдамдылық танытқаныңыз үшін алғыс білдіреміз. ## Апталық жаңарту дайын! ### **Экран уақыты туралы мәліметтер** * **Күнделікті пайдалану статистикасы:** Балаңыздың құрылғыны күніне қанша уақыт пайдаланатынын бақылаңыз. * **Қолданбалар бойынша талдау:** Қай қолданбалар жиі қолданылатынын және оларға қанша уақыт бөлінгенін көре аласыз. * **Деректерді жедел жаңарту:** Мәліметтер әр 10 минут сайын жаңарып отырады және қолданбаға қайта кірген кезде бірден жаңартылады. ### **Интерфейстегі өзгерістер** Қолданбаның сыртқы келбеті мен құрылымы жаңартылып, оны қолдану жеңіл әрі ыңғайлы бола түсті. ### **Басқа өзгерістер** * Чаттағы айналдыру мәселелері шешілді. * **Балаларға арналған жаңа экрандар:** Енді балалар қай ата-анамен байланысты екенін және бүгін құрылғыны қанша уақыт пайдаланғанын көре алады. **Бұл жаңартулар сізге ұнайды деп сенеміз!** Қолданбаның соңғы нұсқасын қазір жүктеп, жаңалықтармен танысыңыз!"""
150,"""# Сделайте воспитание проще с Pinguin! Pinguin создан, чтобы упростить родительство и помочь вашему ребёнку развиваться. Это не просто контроль экранного времени — это инструмент, который помогает родителям и детям проводить время вместе с пользой. ## Как Pinguin может помочь: * **Отслеживание экранного времени: ** Контролируйте, сколько времени ребёнок проводит за экраном, и получайте отчёты о его цифровых привычках. * **Установление здоровых границ: ** Легко задавайте дневные лимиты экранного времени, блокируйте отвлекающие приложения и устанавливайте периоды без экрана. * **Оповещения в реальном времени:** Получайте уведомления, когда ребёнок открывает новые приложения или превышает лимиты экранного времени. * **Семейная панель управления:** Будьте в курсе цифровой активности каждого ребёнка. Pinguin помогает найти баланс между экранным временем и семейным общением. Помогите вашему ребёнку сформировать здоровые цифровые привычки! **Скачайте Pinguin на телефон ребёнка уже сегодня и почувствуйте разницу!**""","""# Make Parenting Easier with Pinguin! Pinguin is designed to make parenting easier and help your child thrive. It's not just about monitoring screen time, but about empowering both parents and children to make the most of their time together. ## Here's how Pinguin can help:* **Track Screen Time:** Monitor your child's screen time usage, providing insights into their digital habits.* **Set Healthy Boundaries:** Easily set daily screen time limits, block distracting apps, and schedule screen-free times for better routines.* **Real-Time Alerts:** Get instant notifications when your child accesses new apps or exceeds screen time limits.* **Family Dashboard:** Stay connected with a clear, shared view of digital usage for each child across all their devices.Pinguin helps create a balance between screen time and family time. Empower your child to build healthy habits and thrive in the digital age!
**Download Pinguin to your child’s phone today and see the difference it can make!**""
","""# Pinguin көмегімен тәрбиелеу оңайырақ! Pinguin – ата-аналарға көмектесіп, балаңыздың дамуына жағдай жасау үшін жасалған. Бұл жай ғана экран уақытын бақылау құралы емес, ата-ана мен баланың бірге уақытты тиімді өткізуіне арналған көмекші. ## Pinguin қалай көмектесе алады: * **Экран уақытын бақылау:** Балаңыздың құрылғыларды қанша уақыт қолданатынын қадағалап, оның цифрлық әдеттері туралы мәлімет алыңыз. * **Денсаулыққа пайдалы шектеулер орнату:** Күнделікті экран уақытына шектеу қойып, алаңдататын қолданбаларды бұғаттап, экрансыз уақыт кестесін орнатыңыз. * **Жедел хабарламалар:** Бала жаңа қолданбаларды ашқанда немесе уақыт лимитін асырғанда бірден хабарлама алыңыз. * **Отбасылық бақылау тақтасы:** Әр балаңыздың экран пайдалануын бір жерден бақылаңыз.
 Pinguin экран алдында отыру мен отбасы уақытының арасындағы тепе-теңдікті сақтауға көмектеседі. Балаңыздың сау цифрлық әдеттер қалыптастыруына мүмкіндік беріңіз! **Pinguin қолданбасын балаңыздың телефонына бүгін жүктеп алып, айырмашылығын көріңіз!**"""
151,Подтвердить выход,Confirm Logout,Шығуды растаңыз
152,"""Вы уверены, что хотите выйти?""","""Are you sure you want to logout?""","""Шығуды қалайтыныңызға сенімдісіз бе?"""
153,Статистика,Statistics,Статистика
154,Данные недоступны,No data available,Деректер жоқ
155,Доступ к статистике закрыт,Access to statistics is restricted,Статистикаға қол жеткізу жабық
156,"""К сожалению, на устройстве ребенка закрыт доступ к экранному времени телефона, чтобы дальше видеть статистику вашего ребенка, необходимо открыть доступ.""","""Unfortunately, screen time access is disabled on the child's device. To continue viewing your child's statistics, access must be enabled.""","""Өкінішке орай, балаңыздың құрылғысында экран уақытына қол жеткізу жабық. Балаңыздың статистикасын әрі қарай көру үшін қол жеткізуді ашу қажет."""
157,Пользователь вышел из аккаунта,User logged out,Пайдаланушы аккаунттан шықты
158,"""К сожалению, ваш ребенок вышел из аккаунта, чтобы дальше видеть статистику вашего ребенка, необходимо перепривязать ребенка.""","""Unfortunately, your child has logged out. To continue viewing your child's statistics, you need to rebind the child.""","""Өкінішке орай, балаңыз аккаунттан шыққан. Балаңыздың статистикасын әрі қарай көру үшін оны қайта байланыстыру қажет."""
159,В телефоне ,On the phone,Телефонда
160,За этот день статистика не собиралась,No statistics were collected for this day,Бұл күні статистика жиналмаған
161,"""Ваш юный исследователь цифрового мира еще не приступил в этот день к путешествию внутри приложения Pinguin""","""Your young explorer of the digital world hasn't started their journey in the Pinguin app on this day yet.""","""Цифрлық әлемнің жас зерттеушісі бұл күні әлі Pinguin қосымшасындағы саяхатын бастамаған."""
162,Использование устройства,Device Usage,Құрылғыны пайдалану
163,Требуется разрешение,Permission Required,Рұқсат қажет
164,"""Пожалуйста, включите разрешения на использование данных приложений в настройках.""","""Please enable app data usage permissions in settings.""","""Қолданба деректерін пайдалануға рұқсатты баптаулардан қосыңыз."""
165,Предупреждение,Warning,Ескерту
166,"""Некоторые разрешения отсутствуют. Приложение может работать некорректно. Хотите предоставить разрешения?""","""Some permissions are missing. The app may not function correctly. Do you want to grant permissions?""","""Кейбір рұқсаттар жоқ. Қосымша дұрыс жұмыс істемеуі мүмкін. Рұқсат бергіңіз келе ме?"""
167,Дать разрешение,Grant Permission,Рұқсат беру
168,Настройки доступов,Permission Settings,Рұқсат баптаулары
169,Данный доступ дает разрешение на отправку уведомлений на ваше устройство,This permission allows notifications to be sent to your device,Бұл рұқсат құрылғыңызға хабарландыру жіберуге мүмкіндік береді
170,"""Этот доступ позволяет нам узнать, как вы проводите время со своим телефоном.""","""This permission allows us to understand how you spend time with your phone.""","""Бұл рұқсат телефонды қалай пайдаланатыныңызды білуге көмектеседі."""
171,Вывести оверлей,Appear on top,Оверлейді қосу
172,"""Этот доступ позволяет приложению показывать наложение поверх других приложений.""","""This permission allows the app to display overlays over other apps.""","""Бұл рұқсат қосымшаға басқа қолданбалардың үстінен бейнеқабат көрсетуге мүмкіндік береді."""
173,Будильник и напоминание,Alarm and Reminder,Оятқыш және еске салу
174,Этот доступ позволяет приложению планировать периоды блокировки,This permission allows the app to schedule lock periods,Бұл рұқсат қосымшаға бұғаттау кезеңдерін жоспарлауға мүмкіндік береді
175,"""Вы окажетесь на странице разрешений, где будет представлен список всех установленных вами приложений""","""You will be taken to the permissions page with a list of all installed apps.""","""Сіз барлық орнатылған қолданбалар тізімі бар рұқсаттар бетіне өтесіз."""
176,Найдите в списке приложение Pinguin,Find the Pinguin app in the list,Тізімнен Pinguin қолданбасын табыңыз
177,"""Готово! Индикатор разрешения поменяет свое положение, сигнализируя, что вы предоставили Pinguin доступ""","""Done! The permission indicator will switch position, signaling that you have granted access to Pinguin.""","""Дайын! Рұқсат индикаторы орнын ауыстырады және сіздің Pinguin-ге рұқсат бергеніңізді білдіреді."""
178,Роль,Role,Рөл
179,Профиль успешно обновлен,Profile updated successfully,Профиль сәтті жаңартылды
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
